filename,width,height,class,xmin,ymin,xmax,ymax
0207_JPEG.rf.b9258e45408548d1d26c200a8cfb34a6.jpg,256,170,Fender,98,41,202,90
0207_JPEG.rf.b9258e45408548d1d26c200a8cfb34a6.jpg,256,170,Bonnet,90,17,196,68
0207_JPEG.rf.b9258e45408548d1d26c200a8cfb34a6.jpg,256,170,Bumper,82,74,112,116
0035_JPEG.rf.b8fba9b5a2df7b674dfc84f050159657.jpg,256,170,Bonnet,27,33,168,93
0035_JPEG.rf.b8fba9b5a2df7b674dfc84f050159657.jpg,256,170,Bumper,71,68,194,135
0035_JPEG.rf.b8fba9b5a2df7b674dfc84f050159657.jpg,256,170,Light,81,81,120,98
0004_JPEG.rf.b9d6497a6f5daba16e439e6796aa4392.jpg,256,191,Windshield,52,2,205,71
damage_3652_jpg.rf.b9a1ab35d6b786ebb5ffc65fd4a0cc3a.jpg,256,170,Bumper,34,47,171,125
major_248_jpg.rf.b8dc5b4042343681b3ff4d9eaa41857f.jpg,256,170,Bumper,46,90,241,163
moderate_314_jpg.rf.b8eb665ebede4ea7a9b4a1792a6afd5d.jpg,256,191,Bumper,100,107,224,143
moderate_314_jpg.rf.b8eb665ebede4ea7a9b4a1792a6afd5d.jpg,256,191,Bonnet,66,54,191,101
moderate_314_jpg.rf.b8eb665ebede4ea7a9b4a1792a6afd5d.jpg,256,191,Light,176,74,197,93
damage_4492_jpg.rf.b94211f9275a99751ae43c2799497208.jpg,256,170,Bumper,35,36,216,160
major_367_jpg.rf.ba4ea3fef0c3e6f10aa3024f659fccc2.jpg,256,205,Fender,98,76,148,148
major_367_jpg.rf.ba4ea3fef0c3e6f10aa3024f659fccc2.jpg,256,205,Bumper,146,117,194,162
0202_JPEG.rf.b8d2c2623c2635c83f08f4e154defa36.jpg,256,163,Door,52,62,111,104
0202_JPEG.rf.b8d2c2623c2635c83f08f4e154defa36.jpg,256,163,Fender,15,35,50,58
moderate_240_jpg.rf.b8cc49c787dd192a94f0fe0aa6eac0b7.jpg,256,191,Bumper,15,96,113,188
moderate_240_jpg.rf.b8cc49c787dd192a94f0fe0aa6eac0b7.jpg,256,191,Door,162,39,194,75
damage_1670_jpg.rf.b96abee6879489ac3a600cf62e950e7e.jpg,256,170,Fender,0,0,256,128
damage_1670_jpg.rf.b96abee6879489ac3a600cf62e950e7e.jpg,256,170,Bumper,1,128,168,170
moderate_277_jpg.rf.ba2893996e043e6d937cff5160fe6899.jpg,191,256,Bonnet,8,85,173,127
moderate_277_jpg.rf.ba2893996e043e6d937cff5160fe6899.jpg,191,256,Bumper,7,138,156,197
moderate_277_jpg.rf.ba2893996e043e6d937cff5160fe6899.jpg,191,256,Light,95,130,135,152
moderate_65_jpg.rf.ba5fd7c2a007621d3d60230d85ac5081.jpg,256,191,Fender,10,41,167,177
moderate_65_jpg.rf.ba5fd7c2a007621d3d60230d85ac5081.jpg,256,191,Door,159,38,254,133
moderate_65_jpg.rf.ba5fd7c2a007621d3d60230d85ac5081.jpg,256,191,Door,53,86,249,191
damage_4134_jpg.rf.b8b4b3c959f4e98b659c1d2298f5d9b4.jpg,256,170,Bumper,0,0,256,170
moderate_122_jpg.rf.b9cce4c14d709760bec809f410a0ebc5.jpg,256,191,Bonnet,58,35,192,94
0014_JPEG.rf.b946d94c27d81e443948ecc83c824069.jpg,256,194,Bonnet,8,11,229,105
0014_JPEG.rf.b946d94c27d81e443948ecc83c824069.jpg,256,194,Light,170,96,222,127
0014_JPEG.rf.b946d94c27d81e443948ecc83c824069.jpg,256,194,Bumper,44,146,223,194
damage_6180_jpg.rf.ba5529f03fc82c08777041249440f839.jpg,256,170,Bumper,45,0,250,126
